unit,split,batch_idx,column,grad_mean_abs,grad_mean_abs_scaled,relative_raw_score,relative_scaled_score
full_e2e,train,12,open,0.00013385347847361118,0.0027121776155057398,1.3579914754426061,1.3818655364172492
full_e2e,train,12,high,8.834648178890347e-05,0.001831863848292703,0.8963066968657736,0.9333420882512276
full_e2e,train,12,low,9.856724500423297e-05,0.0019626928554406092,1.0,1.0
full_e2e,train,12,close,0.0009713286417536438,0.019718939628946663,9.85447692802949,10.04688001705693
full_e2e,train,12,volume,4.606146020158519e-11,0.0010144004832690623,4.6731000952301225e-07,0.516841175865664
full_e2e,train,13,open,71085.21875,1781755.7913826704,1.0,1.0
full_e2e,train,13,high,55938.2890625,1441526.6406263858,0.7869187159602009,0.8090483822745083
full_e2e,train,13,low,77107.8359375,1897340.9238697886,1.084723903132112,1.0648714784855124
full_e2e,train,13,close,92254.75,2320832.120191574,1.2978049673653147,1.3025534315174427
full_e2e,train,13,volume,4.695027006063057e-11,0.001697377526012317,6.604786604898866e-16,9.526431928671468e-10
full_e2e,train,14,open,87775.2265625,3098697.4719793797,1.0,1.0
full_e2e,train,14,high,69071.9609375,2520029.6710915267,0.7869186288948805,0.8132545025383802
full_e2e,train,14,low,95211.859375,3288259.227219403,1.084723595754034,1.0611746570790388
full_e2e,train,14,close,113915.078125,4034251.3190078735,1.2978044328246447,1.3019184207198138
full_e2e,train,14,volume,5.3668691019082004e-11,0.003687102187391572,6.114332382938075e-16,1.189887757915371e-09
full_e2e,train,15,open,23243.32421875,1310266.5931922644,1.0,1.0
full_e2e,train,15,high,18290.58984375,1047562.8610622585,0.7869179843473202,0.7995036021715486
full_e2e,train,15,low,25212.56640625,1402599.6215781868,1.084722915232213,1.070468886916339
full_e2e,train,15,close,30165.25390625,1701387.567986995,1.2978029141768024,1.2985048820040692
full_e2e,train,15,volume,6.459834056560254e-11,0.0037977860533773278,2.779221248976605e-15,2.898483463677878e-09
full_e2e,train,16,open,18323.919921875,325547.87774759904,1.0,1.0
full_e2e,train,16,high,14419.4248046875,264018.80788404867,0.7869181302999292,0.8109983997154037
full_e2e,train,16,low,19876.37890625,345130.87173668295,1.0847230827789027,1.0601539599169707
full_e2e,train,16,close,23780.83984375,423861.420003064,1.2978030871746256,1.301994112004897
full_e2e,train,16,volume,5.163194871649068e-11,0.0014005880675518334,2.8177349026096067e-15,4.302249110767434e-09
full_e2e,train,17,open,34021.90625,494294.8762229383,1.0,1.0
full_e2e,train,17,high,26772.453125,398447.536173746,0.7869180794359516,0.8060927906402918
full_e2e,train,17,low,36904.34375,526923.0663302839,1.0847229863846914,1.0660095657002715
full_e2e,train,17,close,44153.73828125,643721.7505498156,1.2978031847127907,1.3023031018826146
full_e2e,train,17,volume,4.2892526336268944e-11,0.0013702252589165437,1.2607326003747642e-15,2.7720806442236733e-09
full_e2e,train,18,open,22839.052734375,502331.5233907476,1.0,1.0
full_e2e,train,18,high,17972.46484375,406756.0460923612,0.7869181376642512,0.8097362541509439
full_e2e,train,18,low,24774.046875,533050.3660299182,1.0847230471039915,1.0611525281786376
full_e2e,train,18,close,61343.46875,1350948.8867436647,2.685902496195567,2.689357175167374
full_e2e,train,18,volume,4.523375424225762e-11,0.0031231793983280687,1.9805442357150133e-15,6.217366923832585e-09
full_e2e,train,19,open,0.00011189612268935889,0.002325745526430334,1.3363051042037226,1.3664096792331801
full_e2e,train,19,high,7.133999315556139e-05,0.001526562343736132,0.8519687250673719,0.8968778134706311
full_e2e,train,19,low,8.373546006623656e-05,0.001702085078711918,1.0,1.0
full_e2e,train,19,close,0.0008158762939274311,0.01699190205130119,9.743498074555934,9.982992192235244
full_e2e,train,19,volume,4.742269424373724e-11,0.0015417761898826807,5.663394481409054e-07,0.9058161716859925
full_e2e,test,0,open,25534.04296875,1230661.8954084814,1.0,1.0
full_e2e,test,0,high,20093.19921875,989546.9078706354,0.786918046755901,0.8040769861832644
full_e2e,test,0,low,27697.36328125,1311499.7987370938,1.0847229839452996,1.0656865249750669
full_e2e,test,0,close,33138.1640625,1603119.617138207,1.2978032543869513,1.3026482928571534
full_e2e,test,0,volume,3.5161980965758843e-11,0.0018308269645341269,1.3770628101782416e-15,1.487676648935684e-09
full_e2e,test,1,open,17996.583984375,286957.5513585694,1.0,1.0
full_e2e,test,1,high,14161.8388671875,233180.2164797876,0.7869181662188278,0.8125948084510101
